"GDDM","GDXM","BCRQ","CJBH","GSDM","CJSL","BCYE","ZQDM","SBSJ","CJSJ","CJJG","CJJE","SQBH","BS","MJBH"
"D890755588","","20090317",1206781,"21257",2601,317900,"600596","102433","102433",38.54,100242.54,"  00000193","B","23136"
"D890755588","","20090317",1226976,"21257",5000,322900,"600596","102549","102549",38.54,192700,"  00000197","B","23136"
"D890755588","","20090317",1349500,"21257",2500,325400,"600596","103220","103220",38.54,96350,"  00000218","B","23136"
"D890755588","","20090317",1363894,"21257",730,326130,"600596","103301","103301",38.54,28134.2,"  00000220","B","23136"
"D890755588","","20090317",1363895,"21257",2000,328130,"600596","103301","103301",38.54,77080,"  00000220","B","23136"
"D890755588","","20090317",1363896,"21257",100,328230,"600596","103301","103301",38.54,3854,"  00000220","B","23136"
"D890755588","","20090317",1363897,"21257",200,328430,"600596","103301","103301",38.54,7708,"  00000220","B","23136"
"D890755588","","20090317",1363898,"21257",500,328930,"600596","103301","103301",38.54,19270,"  00000220","B","23136"
"D890755588","","20090317",1363899,"21257",1470,330400,"600596","103301","103301",38.54,56653.8,"  00000220","B","23136"
"D890755588","","20090317",1386425,"21257",600,331000,"600596","103405","103405",38.54,23124,"  00000226","B","23136"
"D890755588","","20090317",1386426,"21257",1100,332100,"600596","103405","103405",38.54,42394,"  00000226","B","23136"
"D890755588","","20090317",1386427,"21257",3300,335400,"600596","103405","103405",38.54,127182,"  00000226","B","23136"
"D890755588","","20090317",1397191,"21257",2000,337400,"600596","103437","103437",38.54,77080,"  00000227","B","23136"
"D890755588","","20090317",1399654,"21257",130,337530,"600596","103443","103443",38.54,5010.2,"  00000228","B","23136"
"D890755588","","20090317",1399655,"21257",300,337830,"600596","103443","103443",38.54,11562,"  00000228","B","23136"
"D890755588","","20090317",1399656,"21257",200,338030,"600596","103443","103443",38.54,7708,"  00000228","B","23136"
"D890755588","","20090317",1399657,"21257",100,338130,"600596","103443","103443",38.54,3854,"  00000228","B","23136"
"D890755588","","20090317",1399658,"21257",1599,339729,"600596","103443","103443",38.54,61625.46,"  00000228","B","23136"
